fips_county,fast_food,grocery
01001,41.0,4.0
01003,168.0,29.0
01005,24.0,5.0
01007,7.0,5.0
01009,25.0,6.0
01011,3.0,
01013,20.0,3.0
01015,105.0,21.0
01017,35.0,6.0
01019,16.0,4.0
01021,28.0,4.0
01023,6.0,4.0
01025,24.0,6.0
01027,5.0,
01029,6.0,
01031,48.0,7.0
01033,58.0,9.0
01035,7.0,3.0
01039,27.0,6.0
01041,6.0,
01043,72.0,13.0
01045,31.0,6.0
01047,23.0,6.0
01049,40.0,16.0
01051,44.0,7.0
01053,29.0,4.0
01055,88.0,12.0
01057,11.0,
01059,18.0,8.0
01061,13.0,9.0
01065,7.0,
01067,12.0,
01069,120.0,18.0
01071,32.0,8.0
01073,701.0,113.0
01075,7.0,4.0
01077,76.0,19.0
01079,16.0,
01081,153.0,23.0
01083,50.0,8.0
01087,11.0,3.0
01089,361.0,40.0
01091,20.0,5.0
01093,26.0,4.0
01095,93.0,23.0
01097,324.0,60.0
01099,10.0,4.0
01101,247.0,32.0
01103,100.0,14.0
01107,6.0,5.0
01109,37.0,7.0
01111,10.0,
01113,50.0,9.0
01115,60.0,13.0
01117,187.0,34.0
01119,10.0,3.0
01121,54.0,6.0
01123,27.0,6.0
01125,178.0,29.0
01127,48.0,9.0
01129,,4.0
01131,3.0,3.0
01133,13.0,5.0
02013,,4.0
02020,222.0,33.0
02050,6.0,21.0
02068,3.0,
02070,,6.0
02090,47.0,9.0
02100,3.0,4.0
02105,,5.0
02110,28.0,6.0
02122,46.0,17.0
02130,11.0,4.0
02150,7.0,5.0
02158,,16.0
02164,,3.0
02170,48.0,9.0
02180,,16.0
02185,4.0,10.0
02188,,7.0
02195,5.0,
02198,3.0,6.0
02220,,3.0
02240,3.0,3.0
02261,5.0,8.0
02290,,11.0
04001,13.0,8.0
04003,68.0,13.0
04005,130.0,17.0
04007,31.0,7.0
04009,18.0,6.0
04012,18.0,7.0
04013,3373.0,469.0
04015,126.0,19.0
04017,75.0,13.0
04019,729.0,124.0
04021,142.0,25.0
04023,18.0,7.0
04025,147.0,25.0
04027,131.0,30.0
05001,11.0,4.0
05003,17.0,
05005,30.0,9.0
05007,197.0,49.0
05009,24.0,7.0
05011,5.0,
05015,12.0,7.0
05017,5.0,3.0
05019,19.0,
05021,5.0,4.0
05023,22.0,5.0
05025,,3.0
05027,23.0,3.0
05029,8.0,
05031,92.0,22.0
05033,30.0,8.0
05035,40.0,7.0
05037,14.0,4.0
05039,3.0,
05041,9.0,4.0
05043,16.0,
05045,96.0,12.0
05047,7.0,
05049,3.0,
05051,89.0,13.0
05053,5.0,
05055,26.0,5.0
05057,17.0,4.0
05059,18.0,5.0
05061,11.0,
05063,31.0,7.0
05065,4.0,3.0
05067,6.0,
05069,54.0,16.0
05071,15.0,
05073,3.0,
05075,5.0,3.0
05077,3.0,
05079,6.0,
05081,7.0,
05083,13.0,3.0
05085,39.0,7.0
05087,4.0,
05089,5.0,3.0
05091,28.0,6.0
05093,32.0,8.0
05095,7.0,
05097,3.0,
05099,3.0,
05101,,3.0
05103,13.0,5.0
05107,8.0,4.0
05109,5.0,4.0
05111,15.0,5.0
05113,9.0,
05115,54.0,7.0
05117,3.0,3.0
05119,389.0,57.0
05121,9.0,5.0
05123,12.0,5.0
05125,64.0,12.0
05127,6.0,
05129,4.0,
05131,107.0,20.0
05133,7.0,3.0
05135,7.0,3.0
05137,9.0,
05139,32.0,5.0
05141,8.0,3.0
05143,185.0,40.0
05145,55.0,13.0
05147,4.0,3.0
05149,12.0,4.0
06001,1415.0,372.0
06005,26.0,13.0
06007,169.0,41.0
06009,25.0,11.0
06011,10.0,6.0
06013,793.0,214.0
06015,9.0,4.0
06017,135.0,33.0
06019,729.0,264.0
06021,19.0,7.0
06023,85.0,45.0
06025,112.0,26.0
06027,19.0,3.0
06029,662.0,188.0
06031,101.0,33.0
06033,35.0,23.0
06035,14.0,6.0
06037,8898.0,1888.0
06039,83.0,26.0
06041,196.0,73.0
06043,6.0,6.0
06045,61.0,44.0
06047,144.0,56.0
06049,,5.0
06051,25.0,6.0
06053,293.0,121.0
06055,82.0,34.0
06057,63.0,27.0
06059,3150.0,512.0
