fips_county,cnt_mean_alltransit_performance_score,cnt_median_alltransit_performance_score,cnt_min_alltransit_performance_score,cnt_max_alltransit_performance_score
01001,0.0,0.0,0.0,0.0
01003,0.3,0.35,0.0,0.7
01005,0.0,0.0,0.0,0.0
01007,0.20000000000000004,0.2,0.0,0.4
01009,0.0,0.0,0.0,0.0
01011,0.0,0.0,0.0,0.0
01013,0.0,0.0,0.0,0.0
01015,0.45454545454545453,0.0,0.0,1.8
01017,0.0,0.0,0.0,0.0
01019,0.0,0.0,0.0,0.0
01021,0.0,0.0,0.0,0.0
01023,0.0,0.0,0.0,0.0
01025,0.07500000000000001,0.0,0.0,0.2
01027,0.0,0.0,0.0,0.0
01029,0.0,0.0,0.0,0.0
01031,0.0,0.0,0.0,0.0
01033,0.0,0.0,0.0,0.0
01035,0.0,0.0,0.0,0.0
01037,0.0,0.0,0.0,0.0
01039,0.0,0.0,0.0,0.0
01041,0.0,0.0,0.0,0.0
01043,0.0,0.0,0.0,0.0
01045,0.0,0.0,0.0,0.0
01047,0.05,0.0,0.0,0.2
01049,0.0,0.0,0.0,0.0
01051,0.0,0.0,0.0,0.0
01053,0.0,0.0,0.0,0.0
01055,0.16666666666666666,0.0,0.0,1.7
01057,0.0,0.0,0.0,0.0
01059,0.0,0.0,0.0,0.0
01061,0.0,0.0,0.0,0.0
01063,0.0,0.0,0.0,0.0
01065,0.0,0.0,0.0,0.0
01067,0.0,0.0,0.0,0.0
01069,0.0,0.0,0.0,0.0
01071,0.0,0.0,0.0,0.0
01073,0.03333333333333333,0.0,0.0,0.4
01075,0.0,0.0,0.0,0.0
01077,0.0,0.0,0.0,0.0
01079,0.0,0.0,0.0,0.0
01081,0.0,0.0,0.0,0.0
01083,0.0,0.0,0.0,0.0
01085,0.0,0.0,0.0,0.0
01087,0.0,0.0,0.0,0.0
01089,0.13,0.0,0.0,1.2
01091,0.0,0.0,0.0,0.0
01093,0.0,0.0,0.0,0.0
01095,0.0,0.0,0.0,0.0
01097,0.41,0.0,0.0,3.0
01099,0.0,0.0,0.0,0.0
01101,1.25,1.25,0.2,2.3
01103,0.0,0.0,0.0,0.0
01105,0.0,0.0,0.0,0.0
01107,0.0,0.0,0.0,0.0
