fips_state_county,fips_places,fips_placename,fips_countyname,fips_state,census_fast_food,census_grocery,usda_meanPovertyRate,usda_meanFamilyIncome,usda_percentLowFoodAccess,diabetes_prevalence,cnt_mean_alltransit_performance_score,cnt_median_alltransit_performance_score,cnt_min_alltransit_performance_score,cnt_max_alltransit_performance_score
01017,0100100,Abanda CDP,Chambers County,AL,35.0,6.0,16.907142857142855,61937.642857142855,21.428571428571427,16.5,0.0,0.0,0.0,0.0
01067,0100124,Abbeville city,Henry County,AL,12.0,,15.267961165048543,61894.71844660194,19.41747572815534,15.4,0.0,0.0,0.0,0.0
01073,0100460,Adamsville city,Jefferson County,AL,701.0,113.0,15.640176322418135,71689.0943877551,17.632241813602015,14.1,0.0333333333333333,0.0,0.0,0.4
01133,0100484,Addison town,Winston County,AL,13.0,5.0,19.175,48178.75,33.33333333333333,15.0,0.0,0.0,0.0,0.0
01065,0100676,Akron town,Hale County,AL,7.0,,21.01333333333333,52023.93333333333,13.333333333333334,19.3,0.0,0.0,0.0,0.0
01117,0100820,Alabaster city,Shelby County,AL,187.0,34.0,20.44778481012658,66347.05806451612,18.037974683544306,10.3,0.0,0.0,0.0,0.0
01095,0100988,Albertville city,Marshall County,AL,93.0,23.0,14.736470588235292,60538.44705882353,18.823529411764707,13.4,0.0,0.0,0.0,0.0
01123,0101132,Alexander City city,Tallapoosa County,AL,27.0,6.0,20.69,52961.9,10.0,16.0,0.0,0.0,0.0,0.0
01015,0101180,Alexandria CDP,Calhoun County,AL,105.0,21.0,19.098969072164948,54532.4,30.927835051546392,14.1,0.4545454545454545,0.0,0.0,1.8
01107,0101228,Aliceville city,Pickens County,AL,6.0,5.0,17.738461538461536,64625.179487179485,20.51282051282051,16.9,0.0,0.0,0.0,0.0
01009,0101396,Allgood town,Blount County,AL,25.0,6.0,12.49189189189189,64567.0,0.0,12.8,0.0,0.0,0.0,0.0
,0101660,Altoona town,,AL,,,,,,,,,,
01039,0101708,Andalusia city,Covington County,AL,27.0,6.0,20.933333333333334,52379.0,16.666666666666664,15.0,0.0,0.0,0.0,0.0
01077,0101756,Anderson town,Lauderdale County,AL,76.0,19.0,21.75,53224.142857142855,24.0,12.9,0.0,0.0,0.0,0.0
01015,0101852,Anniston city,Calhoun County,AL,105.0,21.0,19.098969072164948,54532.4,30.927835051546392,14.1,0.4545454545454545,0.0,0.0,1.8
,0102116,Arab city,,AL,,,,,,,,,,
01083,0102260,Ardmore town,Limestone County,AL,50.0,8.0,17.254166666666666,61232.91666666666,29.166666666666668,12.1,0.0,0.0,0.0,0.0
,0102320,Argo town,,AL,,,,,,,,,,
01045,0102428,Ariton town,Dale County,AL,31.0,6.0,18.057142857142857,56551.71428571428,7.142857142857142,14.1,0.0,0.0,0.0,0.0
01133,0102500,Arley town,Winston County,AL,13.0,5.0,19.175,48178.75,33.33333333333333,15.0,0.0,0.0,0.0,0.0
01069,0102836,Ashford town,Houston County,AL,120.0,18.0,19.136666666666667,57585.63333333333,25.0,14.0,0.0,0.0,0.0,0.0
01027,0102860,Ashland town,Clay County,AL,5.0,,14.430714285714286,67475.12142857142,15.0,15.3,0.0,0.0,0.0,0.0
01115,0102908,Ashville city,St. Clair County,AL,60.0,13.0,16.6872,66814.392,21.6,12.3,0.0,0.0,0.0,0.0
01083,0102956,Athens city,Limestone County,AL,50.0,8.0,17.254166666666666,61232.91666666666,29.166666666666668,12.1,0.0,0.0,0.0,0.0
01053,0103004,Atmore city,Escambia County,AL,29.0,4.0,16.125,62030.2625,23.75,16.8,0.0,0.0,0.0,0.0
01055,0103028,Attalla city,Etowah County,AL,88.0,12.0,21.596666666666668,51122.43333333333,30.0,13.8,0.1666666666666666,0.0,0.0,1.7
01081,0103076,Auburn city,Lee County,AL,153.0,23.0,16.243173431734316,65679.5895522388,18.45018450184502,10.9,0.0,0.0,0.0,0.0
01001,0103220,Autaugaville town,Autauga County,AL,41.0,4.0,16.125,69337.5,41.66666666666667,12.3,0.0,0.0,0.0,0.0
01069,0103364,Avon town,Houston County,AL,120.0,18.0,19.136666666666667,57585.63333333333,25.0,14.0,0.0,0.0,0.0,0.0
01097,0103508,Axis CDP,Mobile County,AL,324.0,60.0,23.403508771929825,54888.705357142855,18.421052631578945,15.4,0.41,0.0,0.0,3.0
01039,0103556,Babbie town,Covington County,AL,27.0,6.0,20.933333333333334,52379.0,16.666666666666664,15.0,0.0,0.0,0.0,0.0
01043,0103676,Baileyton town,Cullman County,AL,72.0,13.0,15.988888888888887,53786.27777777778,5.555555555555555,12.4,0.0,0.0,0.0,0.0
01005,0103724,Bakerhill town,Barbour County,AL,24.0,5.0,27.59230769230769,45827.53846153846,38.46153846153847,18.4,0.0,0.0,0.0,0.0
01055,0103820,Ballplay CDP,Etowah County,AL,88.0,12.0,21.596666666666668,51122.43333333333,30.0,13.8,0.1666666666666666,0.0,0.0,1.7
01109,0103940,Banks town,Pike County,AL,37.0,7.0,19.2075,56613.025,15.0,13.2,0.0,0.0,0.0,0.0
01003,0104660,Bay Minette city,Baldwin County,AL,168.0,29.0,15.615,67899.2564102564,20.0,12.6,0.3,0.35,0.0,0.7
01097,0104684,Bayou La Batre city,Mobile County,AL,324.0,60.0,23.403508771929825,54888.705357142855,18.421052631578945,15.4,0.41,0.0,0.0,3.0
01093,0104852,Bear Creek town,Marion County,AL,26.0,4.0,19.248131868131868,59104.37306843267,23.95604395604396,14.4,0.0,0.0,0.0,0.0
01099,0104900,Beatrice town,Monroe County,AL,10.0,4.0,17.490932642487046,69590.06117021276,8.808290155440414,18.7,0.0,0.0,0.0,0.0
01075,0104948,Beaverton town,Lamar County,AL,7.0,4.0,19.103846153846156,59342.5,30.76923076923077,15.0,0.0,0.0,0.0,0.0
01059,0105140,Belgreen CDP,Franklin County,AL,18.0,8.0,17.137090163934424,69094.13043478261,15.368852459016392,14.7,0.0,0.0,0.0,0.0
01057,0105164,Belk town,Fayette County,AL,11.0,,16.743781094527364,70504.18090452261,14.427860696517412,15.6,0.0,0.0,0.0,0.0
01119,0105188,Bellamy CDP,Sumter County,AL,10.0,3.0,19.475925925925928,51384.01960784314,12.962962962962962,19.9,0.0,0.0,0.0,0.0
01097,0105212,Belle Fontaine CDP,Mobile County,AL,324.0,60.0,23.403508771929825,54888.705357142855,18.421052631578945,15.4,0.41,0.0,0.0,3.0
