state,statefp,placefp,countyfp,countyname,type,placename,counties,fips_state_county,fips_places
AL,01,00100,017,Chambers County,CENSUS DESIGNATED PLACE,Abanda CDP,Chambers County,01017,0100100
AL,01,00124,067,Henry County,INCORPORATED PLACE,Abbeville city,Henry County,01067,0100124
AL,01,00460,073,Jefferson County,INCORPORATED PLACE,Adamsville city,Jefferson County,01073,0100460
AL,01,00484,133,Winston County,INCORPORATED PLACE,Addison town,Winston County,01133,0100484
AL,01,00676,065,Hale County,INCORPORATED PLACE,Akron town,Hale County,01065,0100676
AL,01,00820,117,Shelby County,INCORPORATED PLACE,Alabaster city,Shelby County,01117,0100820
AL,01,00988,095,Marshall County,INCORPORATED PLACE,Albertville city,Marshall County,01095,0100988
AL,01,01132,123,Tallapoosa County,INCORPORATED PLACE,Alexander City city,Tallapoosa County,01123,0101132
AL,01,01180,015,Calhoun County,CENSUS DESIGNATED PLACE,Alexandria CDP,Calhoun County,01015,0101180
AL,01,01228,107,Pickens County,INCORPORATED PLACE,Aliceville city,Pickens County,01107,0101228
AL,01,01396,009,Blount County,INCORPORATED PLACE,Allgood town,Blount County,01009,0101396
AL,01,01660,,,INCORPORATED PLACE,Altoona town,Blount County~~~Etowah County,,0101660
AL,01,01708,039,Covington County,INCORPORATED PLACE,Andalusia city,Covington County,01039,0101708
AL,01,01756,077,Lauderdale County,INCORPORATED PLACE,Anderson town,Lauderdale County,01077,0101756
AL,01,01852,015,Calhoun County,INCORPORATED PLACE,Anniston city,Calhoun County,01015,0101852
AL,01,02116,,,INCORPORATED PLACE,Arab city,Cullman County~~~Marshall County,,0102116
AL,01,02260,083,Limestone County,INCORPORATED PLACE,Ardmore town,Limestone County,01083,0102260
AL,01,02320,,,INCORPORATED PLACE,Argo town,Jefferson County~~~St. Clair County,,0102320
AL,01,02428,045,Dale County,INCORPORATED PLACE,Ariton town,Dale County,01045,0102428
AL,01,02500,133,Winston County,INCORPORATED PLACE,Arley town,Winston County,01133,0102500
AL,01,02836,069,Houston County,INCORPORATED PLACE,Ashford town,Houston County,01069,0102836
AL,01,02860,027,Clay County,INCORPORATED PLACE,Ashland town,Clay County,01027,0102860
AL,01,02908,115,St. Clair County,INCORPORATED PLACE,Ashville city,St. Clair County,01115,0102908
AL,01,02956,083,Limestone County,INCORPORATED PLACE,Athens city,Limestone County,01083,0102956
AL,01,03004,053,Escambia County,INCORPORATED PLACE,Atmore city,Escambia County,01053,0103004
AL,01,03028,055,Etowah County,INCORPORATED PLACE,Attalla city,Etowah County,01055,0103028
AL,01,03076,081,Lee County,INCORPORATED PLACE,Auburn city,Lee County,01081,0103076
AL,01,03220,001,Autauga County,INCORPORATED PLACE,Autaugaville town,Autauga County,01001,0103220
AL,01,03364,069,Houston County,INCORPORATED PLACE,Avon town,Houston County,01069,0103364
AL,01,03508,097,Mobile County,CENSUS DESIGNATED PLACE,Axis CDP,Mobile County,01097,0103508
AL,01,03556,039,Covington County,INCORPORATED PLACE,Babbie town,Covington County,01039,0103556
AL,01,03676,043,Cullman County,INCORPORATED PLACE,Baileyton town,Cullman County,01043,0103676
AL,01,03724,005,Barbour County,INCORPORATED PLACE,Bakerhill town,Barbour County,01005,0103724
AL,01,03820,055,Etowah County,CENSUS DESIGNATED PLACE,Ballplay CDP,Etowah County,01055,0103820
AL,01,03940,109,Pike County,INCORPORATED PLACE,Banks town,Pike County,01109,0103940
AL,01,04660,003,Baldwin County,INCORPORATED PLACE,Bay Minette city,Baldwin County,01003,0104660
AL,01,04684,097,Mobile County,INCORPORATED PLACE,Bayou La Batre city,Mobile County,01097,0104684
AL,01,04852,093,Marion County,INCORPORATED PLACE,Bear Creek town,Marion County,01093,0104852
AL,01,04900,099,Monroe County,INCORPORATED PLACE,Beatrice town,Monroe County,01099,0104900
AL,01,04948,075,Lamar County,INCORPORATED PLACE,Beaverton town,Lamar County,01075,0104948
AL,01,05140,059,Franklin County,CENSUS DESIGNATED PLACE,Belgreen CDP,Franklin County,01059,0105140
AL,01,05164,057,Fayette County,INCORPORATED PLACE,Belk town,Fayette County,01057,0105164
AL,01,05188,119,Sumter County,CENSUS DESIGNATED PLACE,Bellamy CDP,Sumter County,01119,0105188
