County,meanPovertyRate,meanFamilyIncome,percentLowFoodAccess
Abbeville County,21.866666666666664,48245.5,33.33333333333333
Acadia Parish,24.816666666666666,54040.583333333336,25.0
Accomack County,17.811111111111114,54276.875,11.11111111111111
Ada County,11.969491525423729,80933.16949152542,1.694915254237288
Adair County,25.345454545454547,51179.80952380953,13.636363636363635
Adams County,14.077297297297298,69035.83243243243,16.756756756756758
Addison County,8.02,83017.3,0.0
Aiken County,16.428125,58865.0625,15.625
Aitkin County,12.700000000000001,56628.166666666664,66.66666666666666
Alachua County,24.791071428571428,65815.89285714286,19.642857142857142
Alamance County,16.180555555555557,62970.86111111111,27.77777777777778
Alameda County,11.179722222222221,112924.3904494382,3.0555555555555554
Alamosa County,20.525,57020.5,50.0
Albany County,14.44235294117647,84949.85714285714,7.0588235294117645
Albemarle County,14.681818181818182,98792.66666666667,4.545454545454546
Alcona County,15.48,50685.2,0.0
Alcorn County,16.928571428571427,49900.0,14.285714285714285
Aleutians East Borough,15.4,77941.0,0.0
Aleutians West Census Area,11.9,79297.0,50.0
Alexander County,20.263636363636365,49914.90909090909,36.36363636363637
Alexandria city,8.88421052631579,137848.57894736843,0.0
Alfalfa County,9.066666666666666,68327.0,0.0
Alger County,11.6,59486.666666666664,33.33333333333333
Allamakee County,9.24,68063.2,0.0
Allegan County,10.420833333333333,69043.33333333333,8.333333333333332
Allegany County,16.444444444444443,58714.45714285714,27.77777777777778
Alleghany County,20.255555555555556,56863.333333333336,11.11111111111111
Allegheny County,14.890999999999998,78055.12176165803,9.5
Allen County,17.47714285714286,61033.44525547445,15.714285714285714
Allen Parish,21.360000000000003,53163.0,40.0
Allendale County,22.8,43748.0,0.0
Alpena County,15.266666666666667,55712.333333333336,11.11111111111111
Alpine County,19.8,82813.0,0.0
Amador County,10.233333333333333,74668.22222222222,0.0
Amelia County,13.35,73719.5,0.0
Amherst County,13.266666666666667,59702.555555555555,22.22222222222222
Amite County,24.76666666666667,42115.333333333336,33.33333333333333
Anchorage Municipality,9.558181818181819,99590.41818181818,9.090909090909092
Anderson County,15.889189189189189,59912.191780821915,17.56756756756757
Andrew County,9.175,70708.25,0.0
Andrews County,9.2,88329.0,0.0
Androscoggin County,15.860714285714286,60671.28571428572,3.571428571428571
Angelina County,19.094117647058823,58159.41176470588,23.52941176470588
Anne Arundel County,6.198076923076924,113648.88235294117,9.615384615384617
Anoka County,6.61566265060241,91648.06024096385,14.457831325301203
Anson County,19.383333333333333,49201.0,16.666666666666664
Antelope County,12.933333333333332,62014.666666666664,0.0
Antrim County,11.5,64206.42857142857,0.0
Apache County,34.95625,40798.75,62.5
Appanoose County,15.64,54832.6,20.0
Appling County,21.759999999999998,50496.6,60.0
Appomattox County,13.133333333333333,67325.66666666667,0.0
Aransas County,18.080000000000002,66071.8,40.0
Arapahoe County,9.0421768707483,94211.77551020408,4.081632653061225
Archer County,9.233333333333333,81102.0,0.0
Archuleta County,10.625,60161.0,50.0
Arenac County,17.84,51490.0,0.0
Arkansas County,18.7375,54667.0,25.0
Arlington County,6.798305084745763,155629.1754385965,0.0
Armstrong County,11.93,62104.95,10.0
Aroostook County,17.495833333333334,52540.166666666664,25.0
Arthur County,10.3,66250.0,0.0
Ascension Parish,13.785714285714286,80822.64285714286,14.285714285714285
Ashe County,18.566666666666666,53327.166666666664,33.33333333333333
Ashland County,13.433333333333334,60902.055555555555,16.666666666666664
Ashley County,18.52857142857143,51288.0,28.57142857142857
Ashtabula County,20.304000000000002,55243.08,28.000000000000004
Asotin County,13.75,60909.166666666664,0.0
Assumption Parish,17.616666666666667,55458.333333333336,0.0
Atascosa County,15.5375,60860.625,12.5
Atchison County,15.0,64406.166666666664,16.666666666666664
Athens County,35.406666666666666,59048.92857142857,33.33333333333333
Atkinson County,32.4,39476.666666666664,33.33333333333333
Atlantic County,15.714492753623187,74235.30882352941,18.84057971014493
Atoka County,19.05,46797.75,75.0
Attala County,22.55,44985.333333333336,33.33333333333333
Audrain County,15.828571428571427,54634.28571428572,42.857142857142854
Audubon County,10.200000000000001,61531.0,0.0
Auglaize County,8.781818181818181,76637.27272727272,0.0
Augusta County,9.923076923076923,71137.30769230769,15.384615384615385
Aurora County,7.3,69135.0,0.0
Austin County,11.333333333333334,77968.5,0.0
Autauga County,16.125,69337.5,41.66666666666667
Avery County,13.940000000000001,52544.6,0.0
Avoyelles Parish,23.433333333333334,51150.11111111111,22.22222222222222
Baca County,18.8,48463.0,50.0
Bacon County,27.166666666666668,45423.666666666664,0.0
Bailey County,14.5,52674.0,0.0
Baker County,15.758333333333335,59661.25,33.33333333333333
Baldwin County,15.615,67899.2564102564,20.0
Ballard County,17.433333333333334,54971.333333333336,0.0
Baltimore County,9.634597156398105,97128.72248803827,10.90047393364929
Baltimore city,22.9155,67201.15544041451,7.000000000000001
Bamberg County,23.35,47973.0,25.0
Bandera County,13.76,64785.6,20.0
Banks County,13.575,54591.25,0.0
Banner County,9.7,64432.0,0.0
Bannock County,18.53181818181818,60147.818181818184,27.27272727272727
Baraga County,16.35,53879.5,100.0
Barber County,15.2,61791.5,0.0
Barbour County,27.592307692307692,45827.53846153846,38.46153846153847
Barnes County,10.525,81157.75,0.0
Barnstable County,7.326785714285714,89178.48214285714,14.285714285714285
Barnwell County,26.68,46280.2,0.0
Barren County,23.669999999999998,49975.3,30.0
Barron County,12.03,62777.0,0.0
Barrow County,12.705555555555556,63786.555555555555,27.77777777777778
Barry County,13.261111111111113,63253.333333333336,11.11111111111111
Bartholomew County,12.613333333333333,75374.0,26.666666666666668
Barton County,17.345454545454547,61634.09090909091,18.181818181818183
Bartow County,13.706666666666667,62517.4,26.666666666666668
Bastrop County,10.05,73835.8,30.0
Bates County,13.0,59035.25,25.0
Bath County,20.625,48644.0,25.0
Baxter County,14.11111111111111,50951.333333333336,0.0
Bay County,16.304347826086957,61395.89855072464,15.942028985507244
Bayfield County,11.059999999999999,63599.8,0.0
Baylor County,10.9,55592.0,0.0
Beadle County,17.1,64965.166666666664,0.0
Bear Lake County,16.0,63625.0,0.0
Beaufort County,14.139215686274511,75273.98,21.568627450980394
Beauregard Parish,17.7,61871.71428571428,14.285714285714285
Beaver County,12.3375,69077.81818181818,23.214285714285715
Beaverhead County,15.433333333333332,69869.33333333333,0.0
Becker County,11.3,70988.8,50.0
Beckham County,16.925,62834.5,0.0
Bedford County,11.521621621621621,64930.48648648649,16.216216216216218
Bee County,18.442857142857143,51307.857142857145,42.857142857142854
Belknap County,8.54,81469.73333333334,6.666666666666667
Bell County,18.81527777777778,56289.68571428571,30.555555555555557
Belmont County,16.029999999999998,60757.55,15.0
Beltrami County,17.93,59182.3,50.0
Ben Hill County,28.76,45480.2,40.0
Benewah County,16.0,54056.5,50.0
Bennett County,34.1,53130.0,50.0
Bennington County,10.4,70321.75,8.333333333333332
Benson County,27.625,54502.5,25.0
Bent County,22.9,42883.0,100.0
Benton County,13.693382352941176,74987.5895522388,15.441176470588236
Benzie County,9.92,67596.2,0.0
Bergen County,7.161452513966481,122120.79888268157,0.0
Berkeley County,13.489655172413793,67585.1724137931,20.689655172413794
Berks County,15.46111111111111,68702.7,3.3333333333333335
Berkshire County,11.130769230769232,76836.56410256411,23.076923076923077
Bernalillo County,17.527450980392157,68704.22516556291,10.457516339869281
Berrien County,18.48148148148148,59093.57407407407,22.22222222222222
Bertie County,23.225,45674.25,75.0
Bethel Census Area,25.766666666666666,58649.0,66.66666666666666
Bexar County,17.25945205479452,68590.43093922651,19.17808219178082
Bibb County,29.572916666666668,50560.9375,31.25
Bienville Parish,28.24,42855.8,40.0
Big Horn County,21.65,56871.5,50.0
Big Stone County,10.933333333333332,70338.66666666667,0.0
